t,phase,x_true,y_true,motion_true,amp_true
0.0000,calm,0.00000,0.00354,0.00000,0.01000
0.0333,calm,0.00062,0.00370,0.00039,0.01000
0.0667,calm,0.00123,0.00385,0.00076,0.01000
0.1000,calm,0.00184,0.00400,0.00111,0.01000
0.1333,calm,0.00245,0.00414,0.00145,0.01000
0.1667,calm,0.00305,0.00428,0.00177,0.01000
0.2000,calm,0.00364,0.00441,0.00207,0.01000
0.2333,calm,0.00423,0.00453,0.00235,0.01000
0.2667,calm,0.00480,0.00465,0.00261,0.01000
0.3000,calm,0.00536,0.00475,0.00286,0.01000
0.3333,calm,0.00591,0.00486,0.00308,0.01000
0.3667,calm,0.00645,0.00495,0.00329,0.01000
0.4000,calm,0.00697,0.00504,0.00348,0.01000
0.4333,calm,0.00747,0.00512,0.00365,0.01000
0.4667,calm,0.00796,0.00519,0.00380,0.01000
0.5000,calm,0.00843,0.00526,0.00393,0.01000
0.5333,calm,0.00887,0.00532,0.00405,0.01000
0.5667,calm,0.00930,0.00537,0.00415,0.01000
0.6000,calm,0.00970,0.00541,0.00423,0.01000
0.6333,calm,0.01008,0.00544,0.00429,0.01000
0.6667,calm,0.01044,0.00547,0.00433,0.01000
0.7000,calm,0.01077,0.00549,0.00436,0.01000
0.7333,calm,0.01108,0.00550,0.00437,0.01000
0.7667,calm,0.01136,0.00550,0.00436,0.01000
0.8000,calm,0.01161,0.00549,0.00434,0.01000
0.8333,calm,0.01184,0.00548,0.00430,0.01000
0.8667,calm,0.01204,0.00546,0.00425,0.01000
0.9000,calm,0.01221,0.00543,0.00418,0.01000
0.9333,calm,0.01235,0.00539,0.00410,0.01000
0.9667,calm,0.01246,0.00535,0.00401,0.01000
1.0000,calm,0.01255,0.00529,0.00391,0.01000
1.0333,calm,0.01261,0.00523,0.00380,0.01000
1.0667,calm,0.01263,0.00516,0.00369,0.01000
1.1000,calm,0.01263,0.00509,0.00358,0.01000
1.1333,calm,0.01260,0.00500,0.00349,0.01000
1.1667,calm,0.01255,0.00491,0.00342,0.01000
1.2000,calm,0.01246,0.00481,0.00336,0.01000
1.2333,calm,0.01235,0.00471,0.00331,0.01000
1.2667,calm,0.01221,0.00460,0.00329,0.01000
1.3000,calm,0.01204,0.00448,0.00328,0.01000
1.3333,calm,0.01185,0.00435,0.00329,0.01000
1.3667,calm,0.01163,0.00422,0.00331,0.01000
1.4000,calm,0.01138,0.00408,0.00335,0.01000
1.4333,calm,0.01112,0.00394,0.00339,0.01000
1.4667,calm,0.01083,0.00379,0.00346,0.01000
1.5000,calm,0.01051,0.00363,0.00353,0.01000
1.5333,calm,0.01018,0.00347,0.00361,0.01000
1.5667,calm,0.00983,0.00331,0.00370,0.01000
1.6000,calm,0.00945,0.00314,0.00380,0.01000
1.6333,calm,0.00906,0.00296,0.00391,0.01000
1.6667,calm,0.00865,0.00278,0.00402,0.01000
1.7000,calm,0.00823,0.00260,0.00414,0.01000
1.7333,calm,0.00779,0.00241,0.00426,0.01000
1.7667,calm,0.00734,0.00222,0.00439,0.01000
1.8000,calm,0.00688,0.00203,0.00452,0.01000
1.8333,calm,0.00641,0.00183,0.00465,0.01000
1.8667,calm,0.00592,0.00163,0.00478,0.01000
1.9000,calm,0.00543,0.00143,0.00491,0.01000
1.9333,calm,0.00494,0.00123,0.00504,0.01000
1.9667,calm,0.00443,0.00102,0.00516,0.01000
2.0000,calm,0.00393,0.00081,0.00529,0.01000
2.0333,calm,0.00342,0.00060,0.00541,0.01000
2.0667,calm,0.00291,0.00039,0.00552,0.01000
2.1000,calm,0.00241,0.00018,0.00563,0.01000
2.1333,calm,0.00190,-0.00003,0.00574,0.01000
2.1667,calm,0.00140,-0.00024,0.00584,0.01000
2.2000,calm,0.00090,-0.00045,0.00593,0.01000
2.2333,calm,0.00041,-0.00065,0.00601,0.01000
2.2667,calm,-0.00007,-0.00086,0.00609,0.01000
2.3000,calm,-0.00054,-0.00107,0.00616,0.01000
2.3333,calm,-0.00100,-0.00128,0.00621,0.01000
2.3667,calm,-0.00145,-0.00148,0.00626,0.01000
2.4000,calm,-0.00189,-0.00168,0.00630,0.01000
2.4333,calm,-0.00232,-0.00188,0.00633,0.01000
2.4667,calm,-0.00273,-0.00208,0.00635,0.01000
2.5000,calm,-0.00312,-0.00227,0.00636,0.01000
2.5333,calm,-0.00350,-0.00246,0.00636,0.01000
2.5667,calm,-0.00385,-0.00264,0.00635,0.01000
2.6000,calm,-0.00419,-0.00283,0.00632,0.01000
2.6333,calm,-0.00451,-0.00300,0.00629,0.01000
2.6667,calm,-0.00481,-0.00318,0.00624,0.01000
2.7000,calm,-0.00508,-0.00335,0.00619,0.01000
2.7333,calm,-0.00534,-0.00351,0.00612,0.01000
2.7667,calm,-0.00557,-0.00367,0.00604,0.01000
2.8000,calm,-0.00577,-0.00383,0.00595,0.01000
2.8333,calm,-0.00596,-0.00397,0.00585,0.01000
2.8667,calm,-0.00611,-0.00412,0.00574,0.01000
2.9000,calm,-0.00625,-0.00425,0.00563,0.01000
2.9333,calm,-0.00635,-0.00438,0.00550,0.01000
2.9667,calm,-0.00644,-0.00451,0.00537,0.01000
3.0000,calm,-0.00649,-0.00462,0.00523,0.01000
3.0333,calm,-0.00653,-0.00473,0.00508,0.01000
3.0667,calm,-0.00653,-0.00484,0.00494,0.01000
3.1000,calm,-0.00651,-0.00493,0.00480,0.01000
3.1333,calm,-0.00647,-0.00502,0.00466,0.01000
3.1667,calm,-0.00640,-0.00511,0.00454,0.01000
3.2000,calm,-0.00630,-0.00518,0.00443,0.01000
3.2333,calm,-0.00619,-0.00525,0.00433,0.01000
3.2667,calm,-0.00604,-0.00531,0.00425,0.01000
3.3000,calm,-0.00588,-0.00536,0.00418,0.01000
3.3333,calm,-0.00569,-0.00540,0.00413,0.01000
3.3667,calm,-0.00548,-0.00544,0.00409,0.01000
3.4000,calm,-0.00524,-0.00546,0.00407,0.01000
3.4333,calm,-0.00499,-0.00548,0.00406,0.01000
3.4667,calm,-0.00472,-0.00550,0.00406,0.01000
3.5000,calm,-0.00443,-0.00550,0.00407,0.01000
3.5333,calm,-0.00412,-0.00550,0.00410,0.01000
3.5667,calm,-0.00379,-0.00548,0.00413,0.01000
3.6000,calm,-0.00345,-0.00546,0.00417,0.01000
3.6333,calm,-0.00309,-0.00544,0.00422,0.01000
3.6667,calm,-0.00272,-0.00540,0.00428,0.01000
3.7000,calm,-0.00233,-0.00535,0.00434,0.01000
3.7333,calm,-0.00194,-0.00530,0.00441,0.01000
3.7667,calm,-0.00153,-0.00524,0.00448,0.01000
3.8000,calm,-0.00112,-0.00518,0.00455,0.01000
3.8333,calm,-0.00070,-0.00510,0.00463,0.01000
3.8667,calm,-0.00027,-0.00502,0.00470,0.01000
3.9000,calm,0.00016,-0.00493,0.00478,0.01000
3.9333,calm,0.00060,-0.00483,0.00486,0.01000
3.9667,calm,0.00103,-0.00473,0.00494,0.01000
4.0000,calm,0.00147,-0.00462,0.00501,0.01000
4.0333,calm,0.00191,-0.00450,0.00508,0.01000
4.0667,calm,0.00234,-0.00438,0.00515,0.01000
4.1000,calm,0.00278,-0.00425,0.00522,0.01000
4.1333,calm,0.00320,-0.00411,0.00528,0.01000
4.1667,calm,0.00362,-0.00397,0.00534,0.01000
4.2000,calm,0.00404,-0.00382,0.00539,0.01000
4.2333,calm,0.00444,-0.00366,0.00543,0.01000
4.2667,calm,0.00483,-0.00350,0.00547,0.01000
4.3000,calm,0.00522,-0.00334,0.00550,0.01000
4.3333,calm,0.00558,-0.00317,0.00553,0.01000
4.3667,calm,0.00594,-0.00300,0.00554,0.01000
4.4000,calm,0.00628,-0.00282,0.00555,0.01000
4.4333,calm,0.00660,-0.00263,0.00555,0.01000
4.4667,calm,0.00691,-0.00245,0.00555,0.01000
4.5000,calm,0.00720,-0.00226,0.00553,0.01000
4.5333,calm,0.00746,-0.00207,0.00551,0.01000
4.5667,calm,0.00771,-0.00187,0.00548,0.01000
4.6000,calm,0.00794,-0.00167,0.00544,0.01000
4.6333,calm,0.00814,-0.00147,0.00539,0.01000
4.6667,calm,0.00833,-0.00126,0.00534,0.01000
4.7000,calm,0.00848,-0.00106,0.00528,0.01000
4.7333,calm,0.00862,-0.00085,0.00521,0.01000
4.7667,calm,0.00873,-0.00064,0.00515,0.01000
4.8000,calm,0.00881,-0.00043,0.00507,0.01000
4.8333,calm,0.00887,-0.00022,0.00500,0.01000
4.8667,calm,0.00890,-0.00001,0.00493,0.01000
4.9000,calm,0.00891,0.00020,0.00485,0.01000
4.9333,calm,0.00889,0.00041,0.00478,0.01000
4.9667,calm,0.00884,0.00061,0.00472,0.01000
5.0000,calm,0.00876,0.00082,0.00466,0.01000
5.0333,calm,0.00866,0.00103,0.00461,0.01000
5.0667,calm,0.00854,0.00124,0.00457,0.01000
5.1000,calm,0.00838,0.00144,0.00454,0.01000
5.1333,calm,0.00820,0.00164,0.00452,0.01000
5.1667,calm,0.00799,0.00184,0.00452,0.01000
5.2000,calm,0.00776,0.00204,0.00452,0.01000
5.2333,calm,0.00750,0.00223,0.00453,0.01000
5.2667,calm,0.00722,0.00242,0.00455,0.01000
5.3000,calm,0.00692,0.00261,0.00459,0.01000
5.3333,calm,0.00659,0.00279,0.00463,0.01000
5.3667,calm,0.00624,0.00297,0.00468,0.01000
5.4000,calm,0.00586,0.00315,0.00474,0.01000
5.4333,calm,0.00547,0.00332,0.00481,0.01000
5.4667,calm,0.00505,0.00348,0.00489,0.01000
5.5000,calm,0.00462,0.00364,0.00497,0.01000
5.5333,calm,0.00417,0.00380,0.00506,0.01000
5.5667,calm,0.00370,0.00395,0.00516,0.01000
5.6000,calm,0.00321,0.00409,0.00526,0.01000
5.6333,calm,0.00271,0.00423,0.00536,0.01000
5.6667,calm,0.00220,0.00436,0.00547,0.01000
5.7000,calm,0.00168,0.00448,0.00557,0.01000
5.7333,calm,0.00114,0.00460,0.00568,0.01000
5.7667,calm,0.00059,0.00471,0.00579,0.01000
